observation_date,Civilian_Labor_Force_Level
1948-01-01,60230
1948-04-01,60535
1948-07-01,60934
1948-10-01,60839
1949-01-01,60967
1949-04-01,61071
1949-07-01,61508
1949-10-01,62033
1950-01-01,61651
1950-04-01,62220
1950-07-01,62355
1950-10-01,62261
1951-01-01,62082
1951-04-01,61822
1951-07-01,61938
1951-10-01,62225
1952-01-01,62191
1952-04-01,61960
1952-07-01,62099
1952-10-01,62361
1953-01-01,63539
1953-04-01,62948
1953-07-01,62867
1953-10-01,62870
1954-01-01,63629
1954-04-01,63651
1954-07-01,63739
1954-10-01,63669
1955-01-01,63829
1955-04-01,64476
1955-07-01,65451
1955-10-01,66101
1956-01-01,66239
1956-04-01,66563
1956-07-01,66713
1956-10-01,66634
1957-01-01,66740
1957-04-01,66798
1957-07-01,67035
1957-10-01,67196
1958-01-01,67173
1958-04-01,67739
1958-07-01,67954
1958-10-01,67814
1959-01-01,67884
1959-04-01,68265
1959-07-01,68505
1959-10-01,68783
1960-01-01,68770
1960-04-01,69713
1960-07-01,69912
1960-10-01,70239
1961-01-01,70523
1961-04-01,70532
1961-07-01,70429
1961-10-01,70315
1962-01-01,70337
1962-04-01,70448
1962-07-01,70812
1962-10-01,70881
1963-01-01,71277
1963-04-01,71718
1963-07-01,71958
1963-10-01,72296
1964-01-01,72584
1964-04-01,73234
1964-07-01,73138
1964-10-01,73353
1965-01-01,73792
1965-04-01,74369
1965-07-01,74626
1965-10-01,74909
1966-01-01,75072
1966-04-01,75477
1966-07-01,75946
1966-10-01,76483
1967-01-01,76496
1967-04-01,76940
1967-07-01,77663
1967-10-01,78292
1968-01-01,78021
1968-04-01,78746
1968-07-01,78880
1968-10-01,79195
1969-01-01,79874
1969-04-01,80367
1969-07-01,81074
1969-10-01,81505
1970-01-01,82210
1970-04-01,82565
1970-07-01,82912
1970-10-01,83498
1971-01-01,83676
1971-04-01,83929
1971-07-01,84581
1971-10-01,85318
1972-01-01,86208
1972-04-01,86810
1972-07-01,87351
1972-10-01,87675
1973-01-01,88232
1973-04-01,89181
1973-07-01,89650
1973-10-01,90579
1974-01-01,91379
1974-04-01,91584
1974-07-01,92253
1974-10-01,92688
1975-01-01,93023
1975-04-01,93619
1975-07-01,94128
1975-10-01,94309
1976-01-01,95049
1976-04-01,95826
1976-07-01,96626
1976-10-01,97102
1977-01-01,97703
1977-04-01,98696
1977-07-01,99244
1977-10-01,100294
1978-01-01,100934
1978-04-01,101947
1978-07-01,102568
1978-10-01,103484
1979-01-01,104383
1979-04-01,104327
1979-07-01,105209
1979-10-01,105923
1980-01-01,106567
1980-04-01,106767
1980-07-01,107121
1980-10-01,107442
1981-01-01,108274
1981-04-01,108848
1981-07-01,108525
1981-10-01,109057
1982-01-01,109374
1982-04-01,110117
1982-07-01,110526
1982-10-01,110959
1983-01-01,110639
1983-04-01,111168
1983-07-01,112095
1983-10-01,112160
1984-01-01,112512
1984-04-01,113521
1984-07-01,113837
1984-10-01,114257
1985-01-01,114976
1985-04-01,115177
1985-07-01,115505
1985-10-01,116211
1986-01-01,116928
1986-04-01,117643
1986-07-01,118225
1986-10-01,118587
1987-01-01,119079
1987-04-01,119663
1987-07-01,120077
1987-10-01,120593
1988-01-01,121013
1988-04-01,121265
1988-07-01,121917
1988-10-01,122488
1989-01-01,123251
1989-04-01,123678
1989-07-01,124026
1989-10-01,124448
1990-01-01,125781
1990-04-01,125705
1990-07-01,125871
1990-10-01,126069
1991-01-01,126071
1991-04-01,126352
1991-07-01,126318
1991-10-01,126669
1992-01-01,127357
1992-04-01,128140
1992-07-01,128559
1992-10-01,128340
1993-01-01,128485
1993-04-01,129086
1993-07-01,129428
1993-10-01,129742
1994-01-01,130555
1994-04-01,130654
1994-07-01,131116
1994-10-01,131862
1995-01-01,132087
1995-04-01,132130
1995-07-01,132430
1995-10-01,132614
1996-01-01,132916
1996-04-01,133591
1996-07-01,134284
1996-10-01,135014
1997-01-01,135582
1997-04-01,136115
1997-07-01,136590
1997-10-01,136916
1998-01-01,137148
1998-04-01,137326
1998-07-01,137815
1998-10-01,138431
1999-01-01,138900
1999-04-01,139132
1999-07-01,139497
1999-10-01,139991
2000-01-01,142386
2000-04-01,142577
2000-07-01,142437
2000-10-01,142944
2001-01-01,143808
2001-04-01,143415
2001-07-01,143642
2001-10-01,144210
2002-01-01,144339
2002-04-01,144824
2002-07-01,145121
2002-10-01,145140
2003-01-01,146020
2003-04-01,146677
2003-07-01,146487
2003-10-01,146815
2004-01-01,146832
2004-04-01,147125
2004-07-01,147557
2004-10-01,148005
2005-01-01,148261
2005-04-01,149142
2005-07-01,149722
2005-10-01,150032
2006-01-01,150556
2006-04-01,151101
2006-07-01,151585
2006-10-01,152393
2007-01-01,153059
2007-04-01,152715
2007-07-01,153072
2007-10-01,153645
2008-01-01,153875
2008-04-01,154128
2008-07-01,154560
2008-10-01,154723
2009-01-01,154294
2009-04-01,154657
2009-07-01,154212
2009-10-01,153591
2010-01-01,153711
2010-04-01,154110
2010-07-01,153917
2010-10-01,153803
2011-01-01,153284
2011-04-01,153456
2011-07-01,153726
2011-10-01,154028
2012-01-01,154600
2012-04-01,154831
2012-07-01,154957
2012-10-01,155507
2013-01-01,155360
2013-04-01,155560
2013-07-01,155630
2013-10-01,155040
2014-01-01,155621
2014-04-01,155587
2014-07-01,156059
2014-10-01,156414
2015-01-01,156772
2015-04-01,157258
2015-07-01,156967
2015-10-01,157555
2016-01-01,158700
2016-04-01,158964
2016-07-01,159490
2016-10-01,159596
2017-01-01,159872
2017-04-01,160202
2017-07-01,160729
2017-10-01,160474
2018-01-01,161459
2018-04-01,161943
2018-07-01,162029
2018-10-01,162881
2019-01-01,162955
2019-04-01,162835
2019-07-01,163819
2019-10-01,164537
2020-01-01,163801
2020-04-01,158121
2020-07-01,160337
2020-10-01,160792
2021-01-01,160224
2021-04-01,160947
2021-07-01,161509
2021-10-01,162177
2022-01-01,163915
2022-04-01,164100
2022-07-01,164427
2022-10-01,164708
2023-01-01,166324
2023-04-01,166849
2023-07-01,167543
2023-10-01,167756
2024-01-01,167579
2024-04-01,167931
2024-07-01,168505
2024-10-01,168426
2025-01-01,170565
2025-04-01,
