observation_date,Prime_Labor_Force_Participation_Rate
1948-01-01,64.4
1948-04-01,64.7
1948-07-01,65.3
1948-10-01,65.0
1949-01-01,64.9
1949-04-01,65.2
1949-07-01,65.3
1949-10-01,65.4
1950-01-01,65.0
1950-04-01,65.7
1950-07-01,65.8
1950-10-01,65.9
1951-01-01,66.0
1951-04-01,65.9
1951-07-01,66.3
1951-10-01,66.7
1952-01-01,66.8
1952-04-01,66.6
1952-07-01,66.5
1952-10-01,66.6
1953-01-01,67.3
1953-04-01,66.6
1953-07-01,66.6
1953-10-01,67.0
1954-01-01,67.2
1954-04-01,67.2
1954-07-01,67.0
1954-10-01,66.9
1955-01-01,67.1
1955-04-01,67.4
1955-07-01,67.9
1955-10-01,68.0
1956-01-01,68.1
1956-04-01,68.1
1956-07-01,68.2
1956-10-01,68.1
1957-01-01,68.2
1957-04-01,68.3
1957-07-01,68.4
1957-10-01,68.5
1958-01-01,68.3
1958-04-01,68.7
1958-07-01,68.9
1958-10-01,68.6
1959-01-01,68.7
1959-04-01,68.8
1959-07-01,68.6
1959-10-01,68.7
1960-01-01,68.5
1960-04-01,69.0
1960-07-01,69.2
1960-10-01,69.1
1961-01-01,69.0
1961-04-01,69.3
1961-07-01,69.0
1961-10-01,68.9
1962-01-01,68.9
1962-04-01,69.0
1962-07-01,69.2
1962-10-01,69.0
1963-01-01,69.3
1963-04-01,69.5
1963-07-01,69.3
1963-10-01,69.6
1964-01-01,69.5
1964-04-01,69.8
1964-07-01,69.5
1964-10-01,69.5
1965-01-01,69.7
1965-04-01,69.9
1965-07-01,70.0
1965-10-01,69.9
1966-01-01,70.0
1966-04-01,70.1
1966-07-01,70.4
1966-10-01,70.7
1967-01-01,70.6
1967-04-01,70.7
1967-07-01,71.0
1967-10-01,71.2
1968-01-01,70.9
1968-04-01,71.2
1968-07-01,71.1
1968-10-01,71.1
1969-01-01,71.4
1969-04-01,71.4
1969-07-01,71.7
1969-10-01,71.8
1970-01-01,72.1
1970-04-01,72.1
1970-07-01,72.0
1970-10-01,72.1
1971-01-01,72.0
1971-04-01,72.0
1971-07-01,72.0
1971-10-01,72.1
1972-01-01,72.2
1972-04-01,72.3
1972-07-01,72.3
1972-10-01,72.1
1973-01-01,72.5
1973-04-01,72.8
1973-07-01,72.9
1973-10-01,73.2
1974-01-01,73.5
1974-04-01,73.4
1974-07-01,73.7
1974-10-01,73.8
1975-01-01,73.7
1975-04-01,74.0
1975-07-01,74.2
1975-10-01,74.3
1976-01-01,74.3
1976-04-01,74.7
1976-07-01,75.1
1976-10-01,75.2
1977-01-01,75.3
1977-04-01,75.7
1977-07-01,75.8
1977-10-01,76.2
1978-01-01,76.5
1978-04-01,76.7
1978-07-01,76.9
1978-10-01,77.4
1979-01-01,77.6
1979-04-01,77.5
1979-07-01,78.1
1979-10-01,78.2
1980-01-01,78.7
1980-04-01,78.6
1980-07-01,78.6
1980-10-01,78.7
1981-01-01,79.1
1981-04-01,79.4
1981-07-01,79.1
1981-10-01,79.5
1982-01-01,79.5
1982-04-01,79.8
1982-07-01,80.0
1982-10-01,80.0
1983-01-01,79.7
1983-04-01,80.0
1983-07-01,80.4
1983-10-01,80.2
1984-01-01,80.3
1984-04-01,80.7
1984-07-01,80.9
1984-10-01,80.9
1985-01-01,81.3
1985-04-01,81.3
1985-07-01,81.5
1985-10-01,81.6
1986-01-01,81.7
1986-04-01,81.9
1986-07-01,82.2
1986-10-01,82.3
1987-01-01,82.3
1987-04-01,82.5
1987-07-01,82.6
1987-10-01,82.7
1988-01-01,82.7
1988-04-01,82.7
1988-07-01,82.9
1988-10-01,83.2
1989-01-01,83.4
1989-04-01,83.2
1989-07-01,83.4
1989-10-01,83.7
1990-01-01,83.7
1990-04-01,83.5
1990-07-01,83.4
1990-10-01,83.4
1991-01-01,83.4
1991-04-01,83.5
1991-07-01,83.4
1991-10-01,83.3
1992-01-01,83.5
1992-04-01,83.8
1992-07-01,83.7
1992-10-01,83.5
1993-01-01,83.2
1993-04-01,83.4
1993-07-01,83.5
1993-10-01,83.6
1994-01-01,83.4
1994-04-01,83.1
1994-07-01,83.4
1994-10-01,83.5
1995-01-01,83.5
1995-04-01,83.5
1995-07-01,83.4
1995-10-01,83.4
1996-01-01,83.5
1996-04-01,83.6
1996-07-01,83.9
1996-10-01,84.1
1997-01-01,84.0
1997-04-01,84.0
1997-07-01,84.4
1997-10-01,84.1
1998-01-01,84.1
1998-04-01,83.9
1998-07-01,84.1
1998-10-01,84.1
1999-01-01,84.3
1999-04-01,84.1
1999-07-01,84.0
1999-10-01,84.1
2000-01-01,84.4
2000-04-01,84.2
2000-07-01,83.8
2000-10-01,83.8
2001-01-01,84.1
2001-04-01,83.7
2001-07-01,83.5
2001-10-01,83.6
2002-01-01,83.6
2002-04-01,83.5
2002-07-01,83.2
2002-10-01,83.1
2003-01-01,83.0
2003-04-01,83.2
2003-07-01,82.9
2003-10-01,82.8
2004-01-01,82.8
2004-04-01,82.8
2004-07-01,82.8
2004-10-01,82.6
2005-01-01,82.7
2005-04-01,82.7
2005-07-01,82.9
2005-10-01,82.7
2006-01-01,82.9
2006-04-01,82.8
2006-07-01,82.9
2006-10-01,83.0
2007-01-01,83.3
2007-04-01,83.0
2007-07-01,82.9
2007-10-01,82.9
2008-01-01,83.3
2008-04-01,83.1
2008-07-01,83.1
2008-10-01,82.9
2009-01-01,82.7
2009-04-01,82.9
2009-07-01,82.7
2009-10-01,82.3
2010-01-01,82.4
2010-04-01,82.4
2010-07-01,82.0
2010-10-01,81.9
2011-01-01,81.7
2011-04-01,81.7
2011-07-01,81.5
2011-10-01,81.5
2012-01-01,81.5
2012-04-01,81.4
2012-07-01,81.4
2012-10-01,81.4
2013-01-01,81.0
2013-04-01,81.1
2013-07-01,81.1
2013-10-01,80.8
2014-01-01,81.0
2014-04-01,80.8
2014-07-01,80.9
2014-10-01,80.9
2015-01-01,80.9
2015-04-01,81.0
2015-07-01,80.7
2015-10-01,80.9
2016-01-01,81.2
2016-04-01,81.2
2016-07-01,81.4
2016-10-01,81.4
2017-01-01,81.6
2017-04-01,81.7
2017-07-01,81.8
2017-10-01,81.7
2018-01-01,81.9
2018-04-01,82.0
2018-07-01,82.0
2018-10-01,82.3
2019-01-01,82.5
2019-04-01,82.2
2019-07-01,82.4
2019-10-01,82.9
2020-01-01,82.8
2020-04-01,80.6
2020-07-01,81.1
2020-10-01,81.1
2021-01-01,81.2
2021-04-01,81.4
2021-07-01,81.7
2021-10-01,81.9
2022-01-01,82.3
2022-04-01,82.4
2022-07-01,82.6
2022-10-01,82.5
2023-01-01,83.0
2023-04-01,83.4
2023-07-01,83.5
2023-10-01,83.3
2024-01-01,83.4
2024-04-01,83.6
2024-07-01,83.9
2024-10-01,83.5
2025-01-01,83.4
2025-04-01,
