observation_date,Part_Time_for_Economic_Reasons
1955-07-01,2153
1955-10-01,2147
1956-01-01,2072
1956-04-01,2192
1956-07-01,2346
1956-10-01,2379
1957-01-01,2381
1957-04-01,2379
1957-07-01,2458
1957-10-01,2665
1958-01-01,3567
1958-04-01,3562
1958-07-01,3100
1958-10-01,2866
1959-01-01,2703
1959-04-01,2496
1959-07-01,2591
1959-10-01,2754
1960-01-01,2492
1960-04-01,2802
1960-07-01,2945
1960-10-01,3164
1961-01-01,3438
1961-04-01,3238
1961-07-01,3054
1961-10-01,2811
1962-01-01,2602
1962-04-01,2678
1962-07-01,2687
1962-10-01,2664
1963-01-01,2606
1963-04-01,2614
1963-07-01,2648
1963-10-01,2617
1964-01-01,2487
1964-04-01,2528
1964-07-01,2398
1964-10-01,2421
1965-01-01,2328
1965-04-01,2219
1965-07-01,2189
1965-10-01,2094
1966-01-01,1957
1966-04-01,2005
1966-07-01,1975
1966-10-01,1867
1967-01-01,2271
1967-04-01,2101
1967-07-01,2121
1967-10-01,2177
1968-01-01,2003
1968-04-01,1976
1968-07-01,1953
1968-10-01,1933
1969-01-01,1970
1969-04-01,2001
1969-07-01,2112
1969-10-01,2124
1970-01-01,2201
1970-04-01,2490
1970-07-01,2452
1970-10-01,2651
1971-01-01,2745
1971-04-01,2652
1971-07-01,2671
1971-10-01,2717
1972-01-01,2630
1972-04-01,2699
1972-07-01,2769
1972-10-01,2445
1973-01-01,2311
1973-04-01,2491
1973-07-01,2652
1973-10-01,2729
1974-01-01,2810
1974-04-01,2762
1974-07-01,2999
1974-10-01,3418
1975-01-01,4071
1975-04-01,3975
1975-07-01,3628
1975-10-01,3566
1976-01-01,3606
1976-04-01,3516
1976-07-01,3570
1976-10-01,3759
1977-01-01,3686
1977-04-01,3537
1977-07-01,3635
1977-10-01,3552
1978-01-01,3451
1978-04-01,3597
1978-07-01,3577
1978-10-01,3416
1979-01-01,3477
1979-04-01,3589
1979-07-01,3559
1979-10-01,3670
1980-01-01,3744
1980-04-01,4472
1980-07-01,4550
1980-10-01,4484
1981-01-01,4531
1981-04-01,4463
1981-07-01,4749
1981-10-01,5357
1982-01-01,5581
1982-04-01,6053
1982-07-01,6337
1982-10-01,6739
1983-01-01,6584
1983-04-01,6256
1983-07-01,6209
1983-10-01,6011
1984-01-01,5834
1984-04-01,5737
1984-07-01,5687
1984-10-01,5711
1985-01-01,5540
1985-04-01,5692
1985-07-01,5645
1985-10-01,5488
1986-01-01,5451
1986-04-01,5787
1986-07-01,5517
1986-10-01,5631
1987-01-01,5496
1987-04-01,5326
1987-07-01,5379
1987-10-01,5420
1988-01-01,5297
1988-04-01,5116
1988-07-01,5268
1988-10-01,5136
1989-01-01,4943
1989-04-01,4971
1989-07-01,4879
1989-10-01,4787
1990-01-01,4840
1990-04-01,5098
1990-07-01,5335
1990-10-01,5555
1991-01-01,5833
1991-04-01,6140
1991-07-01,6256
1991-10-01,6445
1992-01-01,6558
1992-04-01,6501
1992-07-01,6468
1992-10-01,6554
1993-01-01,6380
1993-04-01,6588
1993-07-01,6652
1993-10-01,6306
1994-01-01,4838
1994-04-01,4801
1994-07-01,4399
1994-10-01,4460
1995-01-01,4466
1995-04-01,4477
1995-07-01,4510
1995-10-01,4462
1996-01-01,4290
1996-04-01,4368
1996-07-01,4377
1996-10-01,4254
1997-01-01,4181
1997-04-01,4142
1997-07-01,4031
1997-10-01,3928
1998-01-01,3882
1998-04-01,3756
1998-07-01,3594
1998-10-01,3397
1999-01-01,3475
1999-04-01,3416
1999-07-01,3305
1999-10-01,3220
2000-01-01,3202
2000-04-01,3226
2000-07-01,3191
2000-10-01,3296
2001-01-01,3303
2001-04-01,3507
2001-07-01,3723
2001-10-01,4382
2002-01-01,4167
2002-04-01,4117
2002-07-01,4258
2002-10-01,4321
2003-01-01,4701
2003-04-01,4653
2003-07-01,4650
2003-10-01,4808
2004-01-01,4665
2004-04-01,4533
2004-07-01,4470
2004-10-01,4598
2005-01-01,4342
2005-04-01,4342
2005-07-01,4522
2005-10-01,4201
2006-01-01,4090
2006-04-01,4110
2006-07-01,4204
2006-10-01,4243
2007-01-01,4251
2007-04-01,4376
2007-07-01,4502
2007-10-01,4479
2008-01-01,4884
2008-04-01,5349
2008-07-01,5976
2008-10-01,7343
2009-01-01,8662
2009-04-01,9015
2009-07-01,8922
2009-10-01,9064
2010-01-01,8900
2010-04-01,8867
2010-07-01,8849
2010-10-01,8882
2011-01-01,8526
2011-04-01,8552
2011-07-01,8745
2011-10-01,8425
2012-01-01,8106
2012-04-01,8029
2012-07-01,8242
2012-10-01,8104
2013-01-01,8017
2013-04-01,8001
2013-07-01,7893
2013-10-01,7827
2014-01-01,7343
2014-04-01,7395
2014-07-01,7200
2014-10-01,6926
2015-01-01,6702
2015-04-01,6544
2015-07-01,6238
2015-10-01,6019
2016-01-01,5977
2016-04-01,6097
2016-07-01,5955
2016-10-01,5747
2017-01-01,5595
2017-04-01,5304
2017-07-01,5253
2017-10-01,4847
2018-01-01,5045
2018-04-01,4907
2018-07-01,4544
2018-10-01,4615
2019-01-01,4681
2019-04-01,4482
2019-07-01,4222
2019-10-01,4242
2020-01-01,4805
2020-04-01,10205
2020-07-01,7418
2020-10-01,6478
2021-01-01,5943
2021-04-01,5037
2021-07-01,4453
2021-10-01,4222
2022-01-01,3998
2022-04-01,3991
2022-07-01,3968
2022-10-01,3762
2023-01-01,4064
2023-04-01,3943
2023-07-01,4094
2023-10-01,4175
2024-01-01,4364
2024-04-01,4368
2024-07-01,4670
2024-10-01,4464
2025-01-01,4731
2025-04-01,
